animal,role,lp,pair,epoch,n_bins,n_units_x,n_units_y,n_units_z,k_eff,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,sh_x_cc1,sh_y_cc1
9,learner,44,V1-ACC,expert,10758,24,34,28,20,0.0286,8,0.1096,-0.0356,-20,0.1964,0.3697,0.2207,0.2196,88.44,81.65
10,learner,67,DMS-DLS,naive,7828,20,20,23,20,0.5001,2,0.1772,-0.0415,0,0.3924,0.1655,0.321,0.4013,78.8,46.57
10,learner,67,DMS-DLS,intermediate,7672,20,20,23,20,0.2392,1,0.1538,0.0578,0,0.4237,0.1575,0.3827,0.4846,67.03,56.55
10,learner,67,DMS-DLS,expert,8381,20,20,23,20,0.6862,3,0.5544,0.0463,0,0.4121,0.2719,0.387,0.5242,88.91,54.14
10,learner,67,DMS-ACC,naive,7828,20,16,27,16,0.2486,1,0.0319,0.0919,17,0.2909,0.8914,0.2412,0.3514,54.97,0.74
10,learner,67,DMS-ACC,intermediate,7672,20,16,27,16,0.4082,9,0.3118,0.0984,0,0.8667,0.9409,0.4682,0.5082,0.0,0.0
10,learner,67,DMS-ACC,expert,8381,20,16,27,16,0.1874,2,0.056,-0.0264,0,0.4525,0.3683,0.2817,0.3962,46.91,57.47
10,learner,67,DLS-ACC,naive,7828,20,16,27,16,0.1763,1,0.0158,-0.0426,0,0.1982,0.8878,0.2661,0.2614,48.25,0.68
10,learner,67,DLS-ACC,intermediate,7672,20,16,27,16,0.1433,1,0.0104,-0.0664,0,0.1821,0.2363,0.306,0.3476,89.31,40.81
10,learner,67,DLS-ACC,expert,8381,20,16,27,16,0.7997,1,0.5101,0.1846,0,0.8597,0.9531,0.5034,0.5513,0.0,0.0
10,learner,67,V1-DMS,naive,7828,7,20,36,7,0.0036,0,0.0,0.0186,10,0.0242,0.356,0.0688,0.1053,76.68,36.51
10,learner,67,V1-DMS,intermediate,7672,7,20,36,7,-0.3671,4,0.2497,0.0397,15,0.086,0.4988,0.2125,0.2677,58.93,58.97
10,learner,67,V1-DMS,expert,8381,7,20,36,7,-0.1099,1,0.0126,0.0725,7,0.1189,0.2324,0.1523,0.2517,28.17,59.84
10,learner,67,V1-DLS,naive,7828,7,20,36,7,0.0117,0,0.0,-0.0218,-25,0.0241,0.1996,0.1565,0.1272,84.11,76.23
10,learner,67,V1-DLS,intermediate,7672,7,20,36,7,-0.0522,1,0.0188,0.0047,0,0.0859,0.2247,0.1726,0.2086,19.55,82.82
10,learner,67,V1-DLS,expert,8381,7,20,36,7,0.2082,4,0.0766,0.0199,18,0.1189,0.3007,0.0758,0.2995,89.81,89.19
10,learner,67,V1-ACC,naive,7828,7,16,40,7,0.0757,0,0.0,-0.03,0,0.0245,0.9036,0.1913,0.2602,43.13,0.72
10,learner,67,V1-ACC,intermediate,7672,7,16,40,7,-0.1363,4,0.0616,-0.0352,-3,0.0863,0.266,0.1511,0.2314,53.89,62.71
10,learner,67,V1-ACC,expert,8381,7,16,40,7,-0.1549,1,0.0176,-0.0451,-6,0.1191,0.3784,0.1754,0.2226,89.63,64.09
11,learner,84,DMS-DLS,naive,13286,20,5,168,5,0.1256,3,0.0208,0.0403,0,0.4136,0.3954,0.5302,0.4736,64.2,47.04
11,learner,84,DMS-DLS,intermediate,9865,20,5,168,5,0.202,2,0.0423,-0.1053,-20,0.5503,0.6738,0.5428,0.6052,84.41,74.31
11,learner,84,DMS-DLS,expert,10602,20,5,168,5,0.1972,1,0.0198,-0.0933,-23,0.3498,0.503,0.3669,0.3303,87.78,83.44
