animal,pair,transition,k_eff,rot_x_cc1,rot_y_cc1,floor_x_cc1,floor_y_cc1,rot_x_top3,rot_y_top3,jaccard_x,jaccard_y
11,CA1-V1,naive->expert,20,80.64,87.42,71.6,86.62,83.41,88.23,0.0,0.22
11,DG-DMS,naive->intermediate,5,89.39,83.87,64.9,77.89,71.24,89.6,0.33,0.11
11,DG-DMS,intermediate->expert,5,75.56,89.62,70.97,82.06,73.15,89.74,0.33,0.25
11,DG-DMS,naive->expert,5,83.57,78.72,81.18,70.0,81.14,87.41,0.0,0.0
11,DG-DLS,naive->intermediate,5,80.18,18.81,47.57,52.15,88.48,55.01,0.33,0.33
11,DG-DLS,intermediate->expert,5,86.97,50.58,53.47,38.25,61.18,47.87,0.33,1.0
11,DG-DLS,naive->expert,5,87.26,65.06,50.26,22.31,76.46,83.85,0.0,0.33
11,DG-ACC,naive->intermediate,5,48.02,60.02,41.51,67.34,57.13,89.04,0.33,0.07
11,DG-ACC,intermediate->expert,5,59.88,63.21,53.31,57.48,86.65,89.01,0.33,0.33
11,DG-ACC,naive->expert,5,45.41,68.48,23.33,65.43,74.91,89.98,0.0,0.07
11,DG-V1,naive->intermediate,5,67.77,75.61,63.47,60.34,84.76,88.69,0.33,0.22
11,DG-V1,intermediate->expert,5,44.08,75.73,73.31,70.66,76.27,88.79,0.33,0.22
11,DG-V1,naive->expert,5,65.14,81.61,67.91,52.73,66.05,81.18,0.0,0.17
11,DG-CA1,naive->intermediate,5,83.24,89.91,54.95,77.05,83.07,81.49,0.33,0.33
11,DG-CA1,intermediate->expert,5,72.01,55.33,35.59,54.95,86.82,84.41,0.33,0.2
11,DG-CA1,naive->expert,5,65.91,78.2,54.4,58.22,86.2,89.2,0.33,0.2
13,CA1-V1,naive->intermediate,20,69.0,69.75,86.92,81.85,88.28,88.56,0.5,0.5
13,CA1-V1,intermediate->expert,20,40.68,59.43,82.49,74.1,88.07,76.62,0.5,0.5
13,CA1-V1,naive->expert,20,62.32,81.34,80.15,75.9,85.72,79.04,0.33,0.43
14,DMS-DLS,naive->intermediate,13,72.47,88.19,74.47,79.65,78.79,84.09,0.14,0.6
14,DMS-DLS,intermediate->expert,13,87.04,73.75,86.17,79.73,88.64,89.12,0.23,0.33
14,DMS-DLS,naive->expert,13,73.41,68.99,77.68,88.94,87.39,88.64,0.0,0.14
14,DMS-ACC,naive->intermediate,20,88.58,89.37,85.64,72.31,88.16,88.42,0.14,0.33
14,DMS-ACC,intermediate->expert,20,89.14,89.7,71.92,89.99,83.79,89.88,0.33,0.2
14,DMS-ACC,naive->expert,20,86.84,71.81,74.05,72.33,87.52,89.9,0.23,0.33
14,DLS-ACC,naive->intermediate,13,30.66,80.5,78.16,89.83,78.8,88.25,0.6,0.33
14,DLS-ACC,intermediate->expert,13,66.95,67.79,77.27,89.77,84.14,86.76,0.33,0.33
14,DLS-ACC,naive->expert,13,70.32,77.66,87.41,89.68,85.49,89.73,0.14,0.33
