animal,pair,transition,k_eff,rot_x_cc1,rot_y_cc1,floor_x_cc1,floor_y_cc1,rot_x_top3,rot_y_top3,jaccard_x,jaccard_y
11,DG-DLS,intermediate->expert,5,80.05,72.25,69.87,42.36,83.07,83.93,1.0,1.0
11,DG-DLS,naive->expert,5,77.78,72.68,54.24,43.77,74.11,81.74,0.33,0.33
11,DG-ACC,naive->intermediate,6,51.37,74.2,57.06,75.29,70.29,86.68,0.33,0.03
11,DG-ACC,intermediate->expert,6,72.77,75.33,71.05,80.34,46.54,86.72,0.33,0.33
11,DG-ACC,naive->expert,6,53.43,78.79,65.82,82.87,49.71,87.94,0.0,0.07
11,DG-V1,naive->intermediate,6,61.36,80.8,71.81,56.9,75.65,81.83,0.33,0.31
11,DG-V1,intermediate->expert,6,89.7,80.17,57.34,75.91,73.98,89.27,0.33,0.31
11,DG-V1,naive->expert,6,76.63,85.96,48.18,61.99,74.3,88.47,0.0,0.13
11,DG-CA1,naive->intermediate,6,36.21,32.25,54.19,51.99,75.6,74.78,0.33,0.27
11,DG-CA1,intermediate->expert,6,39.46,21.76,37.59,22.08,82.91,55.79,0.33,0.4
11,DG-CA1,naive->expert,6,36.38,42.63,40.57,43.42,83.74,70.6,0.0,0.17
13,CA1-V1,naive->intermediate,20,23.12,24.77,28.32,30.16,78.95,79.68,0.2,0.45
13,CA1-V1,intermediate->expert,20,19.99,22.33,25.4,20.8,85.29,80.74,0.5,0.52
13,CA1-V1,naive->expert,20,31.26,27.08,34.21,28.43,73.65,73.52,0.2,0.45
14,DMS-DLS,naive->intermediate,13,72.47,88.19,74.47,79.65,78.79,84.09,0.14,0.6
14,DMS-DLS,intermediate->expert,13,87.04,73.75,86.17,79.73,88.64,89.12,0.23,0.33
14,DMS-DLS,naive->expert,13,73.41,68.99,77.68,88.94,87.39,88.64,0.0,0.14
14,DMS-ACC,naive->intermediate,20,88.74,89.38,85.63,73.01,88.21,88.08,0.14,0.33
14,DMS-ACC,intermediate->expert,20,89.07,89.69,71.96,89.99,84.37,89.89,0.33,0.2
14,DMS-ACC,naive->expert,20,86.95,79.75,74.08,73.03,88.16,89.74,0.23,0.2
14,DLS-ACC,naive->intermediate,13,30.66,80.5,78.16,89.83,78.8,88.25,0.6,0.33
14,DLS-ACC,intermediate->expert,13,66.95,67.79,77.27,89.77,84.14,86.76,0.33,0.33
14,DLS-ACC,naive->expert,13,70.32,77.66,87.41,89.68,85.49,89.73,0.14,0.33
