animal,pair,transition,k_eff,rot_x_cc1,rot_y_cc1,floor_x_cc1,floor_y_cc1,rot_x_top3,rot_y_top3,jaccard_x,jaccard_y
11,CA1-ACC,intermediate->expert,20,71.68,72.21,55.66,60.89,85.32,81.88,0.17,0.36
11,CA1-ACC,naive->expert,20,86.0,86.33,70.26,70.42,88.87,89.48,0.17,0.13
11,CA1-V1,naive->intermediate,20,65.88,88.39,75.76,72.61,79.08,83.63,0.08,0.21
11,CA1-V1,intermediate->expert,20,14.74,73.18,55.64,74.92,80.94,76.07,0.17,0.36
11,CA1-V1,naive->expert,20,63.4,86.94,47.0,60.04,88.3,86.52,0.17,0.1
11,DG-DMS,naive->intermediate,6,79.61,76.37,64.42,48.63,85.33,76.66,0.0,0.0
11,DG-DMS,intermediate->expert,6,82.08,84.5,64.54,66.42,80.22,89.14,1.0,0.11
11,DG-DMS,naive->expert,6,81.26,83.76,79.48,71.07,71.04,86.84,0.0,0.25
11,DG-DLS,naive->intermediate,5,78.38,89.06,65.07,82.86,77.35,82.54,0.33,0.33
11,DG-DLS,intermediate->expert,5,81.59,14.89,61.38,83.75,88.15,69.11,0.33,1.0
11,DG-DLS,naive->expert,5,67.71,82.43,70.63,84.81,89.59,82.39,0.0,0.33
11,DG-ACC,naive->intermediate,6,33.38,79.87,60.36,83.09,82.14,88.41,0.0,0.1
11,DG-ACC,intermediate->expert,6,35.14,53.86,84.47,70.24,83.77,79.99,1.0,0.36
11,DG-ACC,naive->expert,6,23.61,81.04,62.08,69.98,76.6,85.78,0.0,0.13
11,DG-V1,naive->intermediate,6,57.92,83.34,53.69,57.42,86.14,86.81,0.0,0.31
11,DG-V1,intermediate->expert,6,18.68,73.29,49.23,75.48,84.51,81.44,1.0,0.26
11,DG-V1,naive->expert,6,50.6,81.86,56.08,48.39,57.73,83.48,0.0,0.1
11,DG-CA1,naive->intermediate,6,39.17,21.48,69.2,77.43,33.14,66.46,0.0,0.27
11,DG-CA1,intermediate->expert,6,36.94,16.98,44.54,52.79,75.87,60.58,1.0,0.4
11,DG-CA1,naive->expert,6,22.64,27.69,36.23,47.07,78.3,73.39,0.0,0.4
13,DMS-DLS,naive->intermediate,6,77.35,81.23,57.4,77.12,82.11,86.37,0.33,0.33
13,DMS-DLS,intermediate->expert,6,61.5,82.83,48.38,74.94,82.03,86.32,1.0,0.33
13,DMS-DLS,naive->expert,6,75.97,82.54,72.9,81.31,71.34,72.9,0.33,0.33
13,DMS-ACC,naive->intermediate,7,86.47,44.01,54.13,63.87,83.8,77.35,1.0,1.0
13,DMS-ACC,intermediate->expert,7,74.53,70.52,50.94,78.86,83.9,86.99,0.33,1.0
13,DMS-ACC,naive->expert,7,83.56,64.27,63.0,68.45,80.13,77.25,0.33,1.0
13,DLS-ACC,naive->intermediate,6,85.74,50.2,49.13,75.62,68.46,64.27,0.33,0.33
13,DLS-ACC,intermediate->expert,6,51.98,67.55,70.58,66.76,61.99,69.11,0.33,1.0
13,DLS-ACC,naive->expert,6,64.56,74.43,53.14,70.23,49.57,84.82,0.33,0.33
13,V1-DMS,naive->intermediate,8,77.5,69.16,70.17,60.93,84.41,77.4,0.52,1.0
13,V1-DMS,intermediate->expert,8,85.34,54.53,71.1,61.46,87.07,74.19,0.39,0.33
13,V1-DMS,naive->expert,8,72.99,74.94,76.09,58.19,83.18,52.33,0.33,0.33
13,V1-DLS,naive->intermediate,6,66.74,55.23,75.0,71.1,83.84,88.08,0.39,0.33
13,V1-DLS,intermediate->expert,6,83.32,74.69,64.2,66.04,85.86,59.41,0.33,0.33
13,V1-DLS,naive->expert,6,65.71,75.61,66.51,67.85,87.93,78.95,0.39,0.33
13,V1-ACC,naive->intermediate,7,68.06,28.7,70.19,30.9,87.07,67.35,0.45,1.0
13,V1-ACC,intermediate->expert,7,61.84,30.18,65.09,43.86,80.89,76.78,0.33,1.0
13,V1-ACC,naive->expert,7,69.24,43.87,75.66,57.94,86.06,66.17,0.33,1.0
13,CA1-DMS,naive->intermediate,8,65.21,55.98,74.53,71.41,75.86,76.84,0.33,1.0
13,CA1-DMS,intermediate->expert,8,37.2,77.78,56.44,81.24,65.76,81.21,0.09,0.33
13,CA1-DMS,naive->expert,8,71.58,84.55,62.71,65.62,88.18,74.61,0.09,0.33
13,CA1-DLS,naive->intermediate,6,79.53,57.73,74.2,43.38,82.36,61.23,0.5,0.33
13,CA1-DLS,intermediate->expert,6,88.67,85.9,75.19,45.36,82.25,83.95,0.09,0.33
13,CA1-DLS,naive->expert,6,73.91,88.81,84.57,76.05,89.66,81.43,0.33,0.33
13,CA1-ACC,naive->intermediate,7,66.06,60.84,56.4,51.25,74.38,62.8,0.33,1.0
13,CA1-ACC,intermediate->expert,7,49.25,30.54,49.91,44.67,84.02,47.18,0.5,1.0
13,CA1-ACC,naive->expert,7,44.29,47.1,46.81,64.95,72.05,55.16,0.33,1.0
13,CA1-V1,naive->intermediate,20,22.76,21.83,26.71,26.61,79.52,73.8,0.2,0.45
13,CA1-V1,intermediate->expert,20,17.84,24.07,23.66,19.12,72.4,89.12,0.5,0.6
13,CA1-V1,naive->expert,20,32.25,29.41,32.19,26.46,71.68,72.47,0.09,0.39
14,DMS-DLS,naive->intermediate,20,72.82,86.94,72.85,66.53,74.92,83.26,0.07,0.27
14,DMS-DLS,intermediate->expert,20,78.94,56.07,79.69,64.2,88.65,80.85,0.45,0.17
14,DMS-DLS,naive->expert,20,80.58,73.33,67.36,77.79,86.06,86.7,0.0,0.17
14,DMS-ACC,naive->intermediate,20,45.65,76.03,67.81,77.7,86.77,88.5,0.07,0.33
14,DMS-ACC,intermediate->expert,20,62.11,51.43,83.64,75.25,86.43,85.95,0.33,0.09
14,DMS-ACC,naive->expert,20,27.91,77.68,64.15,86.8,89.29,86.65,0.07,0.09
14,DLS-ACC,naive->intermediate,20,58.51,73.51,87.28,84.6,89.44,79.87,0.27,0.33
14,DLS-ACC,intermediate->expert,20,89.75,73.29,87.12,85.08,89.58,75.91,0.17,0.09
14,DLS-ACC,naive->expert,20,89.97,88.11,89.71,83.78,88.6,88.92,0.17,0.09
