animal,role,lp,pair,epoch,n_bins,n_units_x,n_units_y,n_units_z,k_eff,cc1,n_sig,mi_sig,ifi,optimal_lag,gini_x,gini_y,gini_pearson_x,gini_pearson_y,sh_x_cc1,sh_y_cc1
10,learner,67,DMS-ACC,intermediate,3052,20,16,0,16,0.526,2,0.2043,0.1303,3,0.4808,0.2473,0.3489,0.4501,20.61,30.01
10,learner,67,DMS-ACC,expert,3337,20,16,0,16,0.4545,1,0.1157,0.086,3,0.4214,0.3829,0.3428,0.4504,68.04,14.6
10,learner,67,DLS-ACC,naive,3128,20,16,0,16,0.2618,0,0.0,-0.0343,-3,0.1927,0.3607,0.2353,0.3337,78.26,75.91
10,learner,67,DLS-ACC,intermediate,3052,20,16,0,16,0.4984,1,0.1428,0.0226,0,0.1635,0.2473,0.3802,0.4386,18.52,31.25
10,learner,67,DLS-ACC,expert,3337,20,16,0,16,0.4275,1,0.1009,0.0461,5,0.259,0.3829,0.3473,0.3879,32.42,30.64
10,learner,67,V1-DMS,naive,3128,7,20,0,7,0.0896,0,0.0,0.0321,9,0.0216,0.3369,0.127,0.1703,70.93,54.87
10,learner,67,V1-DMS,intermediate,3052,7,20,0,7,0.1499,0,0.0,0.0169,2,0.0834,0.5159,0.3354,0.3118,40.17,59.77
10,learner,67,V1-DMS,expert,3337,7,20,0,7,0.1871,0,0.0,0.0375,5,0.1088,0.3534,0.2207,0.3129,31.36,73.85
10,learner,67,V1-DLS,naive,3128,7,20,0,7,0.1022,0,0.0,0.0043,3,0.0216,0.2239,0.2051,0.1532,56.83,77.18
10,learner,67,V1-DLS,intermediate,3052,7,20,0,7,0.1856,0,0.0,0.0474,7,0.0834,0.2544,0.2364,0.277,20.37,57.05
10,learner,67,V1-DLS,expert,3337,7,20,0,7,0.1718,0,0.0,0.0597,8,0.1088,0.2341,0.2635,0.3541,32.04,56.09
10,learner,67,V1-ACC,naive,3128,7,16,0,7,0.0556,0,0.0,-0.0026,-3,0.0216,0.4283,0.1556,0.2643,59.0,82.11
10,learner,67,V1-ACC,intermediate,3052,7,16,0,7,0.0992,0,0.0,0.0002,8,0.0834,0.2284,0.1902,0.275,53.77,62.97
10,learner,67,V1-ACC,expert,3337,7,16,0,7,0.1261,0,0.0,0.0171,-2,0.1088,0.4168,0.1642,0.2512,83.39,87.43
11,learner,84,DMS-DLS,naive,5331,20,5,0,5,-0.002,0,0.0,0.0832,3,0.3978,0.43,0.43,0.3623,83.11,83.03
11,learner,84,DMS-DLS,intermediate,3929,20,5,0,5,0.0052,0,0.0,-0.0288,-8,0.5223,0.6827,0.4733,0.5924,89.85,70.28
11,learner,84,DMS-DLS,expert,4243,20,5,0,5,0.0096,0,0.0,-0.0752,-9,0.412,0.5457,0.4124,0.2378,73.52,80.56
11,learner,84,DMS-ACC,naive,5331,20,67,0,20,0.0182,0,0.0,-0.0095,0,0.3316,0.567,0.2665,0.2732,89.67,88.95
11,learner,84,DMS-ACC,intermediate,3929,20,67,0,20,0.0024,0,0.0,0.1372,7,0.4037,0.5114,0.283,0.303,88.45,89.08
11,learner,84,DMS-ACC,expert,4243,20,67,0,20,0.039,0,0.0,-0.0103,-1,0.3021,0.4762,0.3875,0.3562,88.26,82.83
11,learner,84,DLS-ACC,naive,5331,5,67,0,5,0.0328,0,0.0,0.049,1,0.43,0.595,0.3445,0.4176,85.24,78.26
11,learner,84,DLS-ACC,intermediate,3929,5,67,0,5,0.088,0,0.0,-0.0007,1,0.6827,0.5483,0.4466,0.4003,2.86,50.9
11,learner,84,DLS-ACC,expert,4243,5,67,0,5,0.0309,0,0.0,-0.0525,-1,0.5457,0.508,0.2422,0.3631,62.53,85.96
11,learner,84,V1-DMS,naive,5331,67,20,0,20,0.2033,0,0.0,-0.0027,4,0.5918,0.3316,0.2414,0.2071,49.65,78.51
11,learner,84,V1-DMS,intermediate,3929,67,20,0,20,0.1336,0,0.0,-0.0498,0,0.4063,0.4037,0.2373,0.1872,61.89,74.86
11,learner,84,V1-DMS,expert,4243,67,20,0,20,-0.0068,0,0.0,0.0291,7,0.4594,0.3021,0.2561,0.2244,83.31,30.59
11,learner,84,V1-DLS,naive,5331,67,5,0,5,0.0574,0,0.0,0.0088,-1,0.6151,0.43,0.3724,0.1097,70.0,65.55
11,learner,84,V1-DLS,intermediate,3929,67,5,0,5,0.0126,0,0.0,-0.0808,-10,0.4694,0.6827,0.3062,0.3269,85.15,50.87
11,learner,84,V1-DLS,expert,4243,67,5,0,5,-0.018,0,0.0,-0.0597,-3,0.4774,0.5457,0.3644,0.3457,86.22,34.01
11,learner,84,V1-ACC,naive,5331,67,67,0,20,0.1418,0,0.0,-0.0059,2,0.5918,0.567,0.1852,0.1552,59.39,72.66
11,learner,84,V1-ACC,intermediate,3929,67,67,0,20,0.1395,0,0.0,0.0583,8,0.4063,0.5114,0.1792,0.1926,56.85,73.0
11,learner,84,V1-ACC,expert,4243,67,67,0,20,0.0564,0,0.0,0.014,-1,0.4594,0.4762,0.1677,0.1578,90.0,78.33
11,learner,84,CA1-DMS,naive,5331,28,20,0,20,0.0242,0,0.0,-0.0317,-7,0.3862,0.3316,0.2177,0.1851,64.46,56.35
11,learner,84,CA1-DMS,intermediate,3929,28,20,0,20,0.0236,0,0.0,-0.0663,-5,0.2974,0.4037,0.197,0.208,86.38,77.81
11,learner,84,CA1-DMS,expert,4243,28,20,0,20,0.0103,0,0.0,0.021,5,0.2897,0.3021,0.1998,0.2108,84.41,81.24
11,learner,84,CA1-DLS,naive,5331,28,5,0,5,0.0324,0,0.0,-0.0146,-7,0.4206,0.43,0.3604,0.1762,89.62,57.26
11,learner,84,CA1-DLS,intermediate,3929,28,5,0,5,0.0068,0,0.0,-0.0331,1,0.4398,0.6827,0.4424,0.5345,89.77,87.69
11,learner,84,CA1-DLS,expert,4243,28,5,0,5,-0.0059,0,0.0,0.1059,0,0.4026,0.5457,0.5124,0.566,87.35,89.83
11,learner,84,CA1-ACC,naive,5331,28,67,0,20,0.0719,0,0.0,0.0389,1,0.3862,0.567,0.2023,0.1961,82.07,86.85
11,learner,84,CA1-ACC,intermediate,3929,28,67,0,20,0.1637,0,0.0,0.0008,4,0.2974,0.5114,0.1397,0.1866,68.47,62.27
11,learner,84,CA1-ACC,expert,4243,28,67,0,20,0.0764,0,0.0,0.0102,1,0.2897,0.4762,0.1693,0.1857,45.46,56.76
11,learner,84,CA1-V1,naive,5331,28,67,0,20,0.0986,0,0.0,-0.0358,-6,0.3862,0.5918,0.2241,0.2106,58.26,61.87
11,learner,84,CA1-V1,intermediate,3929,28,67,0,20,0.0305,0,0.0,0.017,-1,0.2974,0.4063,0.2224,0.2511,89.36,84.22
11,learner,84,CA1-V1,expert,4243,28,67,0,20,0.0751,0,0.0,0.0042,1,0.2897,0.4594,0.2633,0.2474,53.41,57.08
11,learner,84,DG-DMS,naive,5331,6,20,0,6,0.0399,0,0.0,-0.0176,10,0.4024,0.3538,0.1474,0.3165,54.39,69.14
11,learner,84,DG-DMS,intermediate,3929,6,20,0,6,-0.0112,0,0.0,-0.1391,-7,0.094,0.4672,0.2966,0.4008,88.36,84.86
11,learner,84,DG-DMS,expert,4243,6,20,0,6,-0.0064,0,0.0,-0.0732,-8,0.1025,0.2854,0.278,0.354,88.71,86.59
11,learner,84,DG-DLS,naive,5331,6,5,0,5,-0.0153,0,0.0,-0.0162,-9,0.4247,0.43,0.2218,0.1677,63.78,89.83
11,learner,84,DG-DLS,intermediate,3929,6,5,0,5,-0.0047,0,0.0,-0.0791,3,0.1231,0.6827,0.589,0.6054,29.98,82.98
11,learner,84,DG-DLS,expert,4243,6,5,0,5,0.051,0,0.0,-0.0709,-6,0.0395,0.5457,0.586,0.6812,83.77,88.36
11,learner,84,DG-ACC,naive,5331,6,67,0,6,0.0395,0,0.0,0.0087,2,0.4024,0.6058,0.144,0.2948,42.86,73.73
11,learner,84,DG-ACC,intermediate,3929,6,67,0,6,0.0588,0,0.0,-0.0369,-1,0.094,0.5471,0.1349,0.2913,76.24,89.46
11,learner,84,DG-ACC,expert,4243,6,67,0,6,0.0609,0,0.0,-0.065,-1,0.1025,0.5073,0.1786,0.3272,34.83,57.97
11,learner,84,DG-V1,naive,5331,6,67,0,6,0.1221,0,0.0,-0.0713,-1,0.4024,0.6391,0.2256,0.3657,58.77,35.53
11,learner,84,DG-V1,intermediate,3929,6,67,0,6,0.1108,0,0.0,0.0534,8,0.094,0.4474,0.3528,0.4118,55.99,74.14
11,learner,84,DG-V1,expert,4243,6,67,0,6,0.0522,0,0.0,-0.0682,2,0.1025,0.4964,0.3205,0.3777,42.77,61.92
11,learner,84,DG-CA1,naive,5331,6,28,0,6,0.2423,2,0.0481,-0.0982,0,0.4024,0.4935,0.2996,0.5055,54.13,70.71
11,learner,84,DG-CA1,intermediate,3929,6,28,0,6,0.2063,2,0.0581,0.0163,1,0.094,0.35,0.4142,0.4937,77.94,75.02
11,learner,84,DG-CA1,expert,4243,6,28,0,6,0.3842,2,0.1269,-0.1022,0,0.1025,0.3692,0.4833,0.525,11.17,13.77
13,learner,23,DMS-DLS,naive,7294,8,6,0,6,-0.0008,0,0.0,0.0459,8,0.5092,0.4065,0.4003,0.2983,65.89,86.2
13,learner,23,DMS-DLS,intermediate,8216,8,6,0,6,0.1379,1,0.0096,0.0077,-5,0.5621,0.6536,0.6213,0.4816,41.73,17.26
13,learner,23,DMS-DLS,expert,7514,8,6,0,6,0.0048,0,0.0,0.0888,1,0.5442,0.7473,0.4125,0.294,74.09,67.5
13,learner,23,DMS-ACC,naive,7294,8,7,0,7,0.0068,0,0.0,-0.0276,-2,0.5284,0.439,0.2778,0.2223,43.19,59.66
13,learner,23,DMS-ACC,intermediate,8216,8,7,0,7,-0.004,0,0.0,0.0782,10,0.5343,0.393,0.3935,0.1185,40.97,42.22
13,learner,23,DMS-ACC,expert,7514,8,7,0,7,0.0076,0,0.0,-0.0151,-3,0.5131,0.2907,0.3404,0.2693,45.06,83.77
