animal,pair,transition,k_eff,rot_x_cc1,rot_y_cc1,floor_x_cc1,floor_y_cc1,rot_x_top3,rot_y_top3,jaccard_x,jaccard_y
11,V1-DMS,naive->intermediate,20,77.76,83.12,60.49,84.85,82.25,87.45,0.17,0.11
11,V1-DMS,intermediate->expert,20,74.32,50.63,76.43,60.63,85.76,85.6,0.48,0.25
11,V1-DMS,naive->expert,20,69.06,65.83,67.83,61.07,88.73,77.15,0.13,0.11
11,V1-DLS,naive->intermediate,5,81.15,20.61,84.18,55.72,84.79,68.17,0.13,0.33
11,V1-DLS,intermediate->expert,5,87.05,34.42,87.16,59.36,89.48,62.4,0.21,1.0
11,V1-DLS,naive->expert,5,89.88,24.55,84.21,61.27,89.18,52.15,0.06,0.33
11,V1-ACC,naive->intermediate,20,80.67,87.1,56.47,69.28,83.02,87.53,0.17,0.1
11,V1-ACC,intermediate->expert,20,73.46,88.66,65.82,67.42,88.01,82.52,0.48,0.36
11,V1-ACC,naive->expert,20,89.93,81.09,69.47,69.2,88.33,88.98,0.13,0.13
11,CA1-DMS,naive->intermediate,20,83.95,78.6,78.94,70.77,86.89,86.37,0.08,0.11
11,CA1-DMS,intermediate->expert,20,84.29,78.87,76.79,72.82,85.1,70.83,0.27,0.25
11,CA1-DMS,naive->expert,20,75.65,83.62,73.71,65.08,88.13,82.55,0.08,0.11
11,CA1-DLS,naive->intermediate,5,86.67,47.73,85.04,71.9,86.98,29.38,0.08,0.33
11,CA1-DLS,intermediate->expert,5,34.18,25.33,55.41,45.32,74.26,68.47,0.4,1.0
11,CA1-DLS,naive->expert,5,84.93,36.34,53.45,39.89,90.0,58.64,0.08,0.33
11,CA1-ACC,naive->intermediate,20,81.68,86.9,79.2,77.0,83.35,84.77,0.08,0.1
11,CA1-ACC,intermediate->expert,20,51.32,58.7,81.9,76.49,85.14,88.21,0.27,0.42
11,CA1-ACC,naive->expert,20,75.58,84.77,81.8,81.34,76.14,89.95,0.08,0.13
11,CA1-V1,naive->intermediate,20,84.99,89.27,70.65,68.58,79.92,82.69,0.08,0.17
11,CA1-V1,intermediate->expert,20,21.21,76.93,75.32,73.92,89.15,78.74,0.27,0.42
11,CA1-V1,naive->expert,20,87.78,85.15,57.99,57.59,72.79,81.55,0.08,0.13
11,DG-DMS,naive->intermediate,6,89.26,88.96,68.51,77.54,79.18,82.78,0.33,0.25
11,DG-DMS,intermediate->expert,6,80.85,89.25,70.19,83.29,89.35,87.93,0.33,0.11
11,DG-DMS,naive->expert,6,70.37,82.84,71.07,72.17,74.37,88.95,0.0,0.0
11,DG-DLS,naive->intermediate,5,85.99,83.93,66.51,43.24,77.94,46.27,0.33,0.33
11,DG-DLS,intermediate->expert,5,80.24,71.31,70.48,40.18,83.7,79.12,1.0,1.0
11,DG-DLS,naive->expert,5,77.82,73.15,52.81,43.58,73.81,78.46,0.33,0.33
11,DG-ACC,naive->intermediate,6,45.4,80.23,68.17,85.36,70.74,87.16,0.33,0.1
11,DG-ACC,intermediate->expert,6,39.13,76.64,77.41,88.5,81.69,82.99,0.33,0.36
11,DG-ACC,naive->expert,6,57.2,78.42,65.07,85.17,76.79,89.0,0.0,0.1
11,DG-V1,naive->intermediate,6,60.86,82.45,71.26,56.75,74.74,83.45,0.33,0.26
11,DG-V1,intermediate->expert,6,88.65,81.73,56.11,76.18,76.36,89.53,0.33,0.31
11,DG-V1,naive->expert,6,76.84,86.12,47.89,62.74,74.46,88.41,0.0,0.13
11,DG-CA1,naive->intermediate,6,36.22,32.41,54.06,51.98,75.37,75.22,0.33,0.27
11,DG-CA1,intermediate->expert,6,39.23,21.63,37.55,22.12,80.6,57.97,0.33,0.4
11,DG-CA1,naive->expert,6,36.86,42.62,40.29,43.34,83.02,69.9,0.0,0.27
13,DMS-DLS,naive->intermediate,6,58.92,63.93,72.51,46.37,77.3,70.44,0.33,0.0
13,DMS-DLS,intermediate->expert,6,89.97,83.55,40.35,19.9,89.96,84.3,0.33,0.33
13,DMS-DLS,naive->expert,6,89.96,65.83,32.37,53.03,89.95,73.14,0.33,0.33
13,DMS-ACC,naive->intermediate,7,83.16,44.53,58.4,46.22,73.72,59.92,1.0,1.0
13,DMS-ACC,intermediate->expert,7,89.64,29.76,18.13,28.59,89.8,70.46,0.33,1.0
13,DMS-ACC,naive->expert,7,89.31,34.52,42.74,37.35,89.44,83.81,0.33,1.0
13,DLS-ACC,naive->intermediate,6,49.78,44.63,71.5,65.84,63.89,88.95,0.0,0.33
13,DLS-ACC,intermediate->expert,6,60.77,87.65,74.33,74.62,80.6,58.42,0.33,0.33
13,DLS-ACC,naive->expert,6,52.5,86.5,83.5,79.58,82.9,86.95,0.33,1.0
13,V1-DMS,naive->intermediate,8,89.98,85.58,78.42,50.41,87.86,78.08,0.52,1.0
13,V1-DMS,intermediate->expert,8,75.95,89.24,74.23,38.52,77.99,89.3,0.45,0.33
13,V1-DMS,naive->expert,8,85.36,89.94,74.89,17.95,86.68,88.58,0.39,0.33
13,V1-DLS,naive->intermediate,6,70.78,48.58,76.57,48.04,88.84,61.87,0.39,0.0
13,V1-DLS,intermediate->expert,6,77.54,47.46,57.66,59.83,80.17,81.51,0.33,0.33
13,V1-DLS,naive->expert,6,52.42,42.2,68.05,71.38,86.14,78.9,0.39,0.33
13,V1-ACC,naive->intermediate,7,64.77,27.51,56.18,23.82,83.49,51.81,0.33,1.0
13,V1-ACC,intermediate->expert,7,66.44,31.14,74.57,43.16,87.03,83.52,0.33,1.0
13,V1-ACC,naive->expert,7,80.28,31.71,67.0,44.92,82.01,67.75,0.28,1.0
13,CA1-DMS,naive->intermediate,8,58.73,49.44,69.38,42.76,88.02,69.87,0.5,1.0
13,CA1-DMS,intermediate->expert,8,43.4,89.88,60.95,14.71,82.47,89.85,0.2,0.33
13,CA1-DMS,naive->expert,8,67.97,89.53,58.29,34.04,82.3,89.51,0.33,0.33
13,CA1-DLS,naive->intermediate,6,73.48,59.53,72.13,52.12,74.41,89.89,0.33,0.0
13,CA1-DLS,intermediate->expert,6,76.86,87.2,67.19,50.28,84.59,80.92,0.33,0.33
13,CA1-DLS,naive->expert,6,80.61,47.57,80.62,39.92,78.32,70.02,0.2,0.33
13,CA1-ACC,naive->intermediate,7,55.31,70.92,69.69,83.34,82.55,86.29,0.5,1.0
13,CA1-ACC,intermediate->expert,7,40.77,50.17,66.58,69.05,89.02,88.12,0.33,1.0
13,CA1-ACC,naive->expert,7,48.2,30.56,52.47,70.62,78.51,86.69,0.2,1.0
13,CA1-V1,naive->intermediate,20,22.52,25.2,28.4,30.57,78.21,80.39,0.2,0.45
13,CA1-V1,intermediate->expert,20,19.27,23.19,24.98,21.41,84.22,75.76,0.5,0.52
13,CA1-V1,naive->expert,20,30.6,27.47,34.39,28.9,74.2,72.07,0.2,0.45
14,DMS-DLS,naive->intermediate,20,67.02,84.85,75.0,61.8,87.78,87.66,0.14,0.27
14,DMS-DLS,intermediate->expert,20,84.51,59.84,77.67,59.53,89.64,77.28,0.33,0.17
14,DMS-DLS,naive->expert,20,79.71,72.44,72.46,83.8,85.22,87.03,0.07,0.17
14,DMS-ACC,naive->intermediate,20,17.8,87.85,58.87,57.07,85.72,88.56,0.14,0.33
14,DMS-ACC,intermediate->expert,20,36.16,36.86,83.38,85.19,85.36,79.82,0.33,0.09
14,DMS-ACC,naive->expert,20,33.2,89.37,60.32,53.94,85.98,89.79,0.07,0.2
14,DLS-ACC,naive->intermediate,20,82.6,72.31,84.14,88.64,80.17,86.91,0.17,0.33
14,DLS-ACC,intermediate->expert,20,84.97,89.55,86.35,88.19,86.38,84.06,0.17,0.09
14,DLS-ACC,naive->expert,20,89.84,86.19,83.13,88.45,89.39,82.6,0.17,0.09
