group,area,epoch,animal,reliability,shuffle,obs_minus_shuffle
Control 1 (Spatial),DMS,Naive,5,0.153112308580256,0.0501097251680861,0.10300258341217
Control 1 (Spatial),DMS,Intermediate,1,0.0368909347768299,0.0257189290301871,0.0111720057466428
Control 1 (Spatial),DMS,Intermediate,3,0.0388974188657374,0.0624204518505451,-0.0235230329848078
Control 1 (Spatial),DMS,Intermediate,4,0.367952859586446,0.210872851025118,0.157080008561327
Control 1 (Spatial),DMS,Intermediate,5,0.116736874876724,0.0357837981261856,0.0809530767505387
Control 1 (Spatial),DMS,Expert,1,0.0381359709427353,0.0121693877935854,0.0259665831491499
Control 1 (Spatial),DMS,Expert,3,0.0229546433216069,0.00855535509541823,0.0143992882261886
Control 1 (Spatial),DMS,Expert,4,0.204418027204065,0.133930419516788,0.0704876076872768
Control 1 (Spatial),DMS,Expert,5,0.111326498825813,0.0528618920897748,0.0584646067360386
Control 1 (Spatial),DLS,Naive,1,0.120624579235157,0.0254470693220608,0.0951775099130959
Control 1 (Spatial),DLS,Naive,2,0.387764556213571,0.168726400265189,0.219038155948382
Control 1 (Spatial),DLS,Naive,3,0.0832526475112341,-0.000983075990254389,0.0842357235014885
Control 1 (Spatial),DLS,Naive,4,0.0745342053651882,0.0422672124012691,0.0322669929639191
Control 1 (Spatial),DLS,Naive,5,0.110112902980907,0.0261491455020038,0.0839637574789036
Control 1 (Spatial),DLS,Intermediate,1,0.0755982740154232,0.0364464745992979,0.0391517994161254
Control 1 (Spatial),DLS,Intermediate,2,0.39304892822172,0.309109632389329,0.0839392958323916
Control 1 (Spatial),DLS,Intermediate,3,0.0247541917716488,0.0340758959123403,-0.00932170414069152
Control 1 (Spatial),DLS,Intermediate,4,0.0814380838014543,0.0261260681423802,0.0553120156590742
Control 1 (Spatial),DLS,Intermediate,5,0.0790332511905345,0.019795816921028,0.0592374342695065
Control 1 (Spatial),DLS,Expert,1,0.0576510262525176,0.0381266157722555,0.0195244104802621
Control 1 (Spatial),DLS,Expert,2,0.385857227480253,0.150448464603007,0.235408762877246
Control 1 (Spatial),DLS,Expert,3,0.0136324635179814,0.0159690091661355,-0.0023365456481541
Control 1 (Spatial),DLS,Expert,4,0.0838150632013264,0.0108903288363566,0.0729247343649698
Control 1 (Spatial),DLS,Expert,5,0.0491184183331163,0.0282715761702232,0.0208468421628931
Control 1 (Spatial),ACC,Naive,2,0.118293332564682,0.0486401304839173,0.0696532020807652
Control 1 (Spatial),ACC,Naive,3,0.0833594791611064,0.0165925872657289,0.0667668918953775
Control 1 (Spatial),ACC,Naive,4,0.0942050255834879,0.0224309742777971,0.0717740513056908
Control 1 (Spatial),ACC,Naive,5,0.0975369609500335,0.0409703943169962,0.0565665666330373
Control 1 (Spatial),ACC,Intermediate,2,0.138134687120727,0.0758942108540561,0.062240476266671
Control 1 (Spatial),ACC,Intermediate,3,0.0492344089911354,0.013505383253883,0.0357290257372524
Control 1 (Spatial),ACC,Intermediate,4,0.0420887685276165,0.0983192555523796,-0.0562304870247631
Control 1 (Spatial),ACC,Intermediate,5,0.0509835934982531,0.0232181496637272,0.0277654438345259
Control 1 (Spatial),ACC,Expert,2,0.0965773412485121,0.0341474195095189,0.0624299217389932
Control 1 (Spatial),ACC,Expert,3,0.0333561821572601,0.0142825174977376,0.0190736646595224
Control 1 (Spatial),ACC,Expert,4,0.00666266760171464,0.020366080590295,-0.0137034129885803
Control 1 (Spatial),ACC,Expert,5,0.0560299940587091,0.0243657823592226,0.0316642116994865
Control 1 (Spatial),V1,Naive,2,0.2273045149628,0.0850722836122911,0.142232231350508
Control 1 (Spatial),V1,Naive,3,0.13315168177912,0.0759527139227381,0.0571989678563823
Control 1 (Spatial),V1,Naive,4,0.224057755418376,0.0730719466185682,0.150985808799808
Control 1 (Spatial),V1,Intermediate,2,0.201210567292127,0.154784788903866,0.0464257783882606
Control 1 (Spatial),V1,Intermediate,3,0.109528043316592,0.0728607265333771,0.0366673167832152
Control 1 (Spatial),V1,Intermediate,4,0.188580522638336,0.0855916449465598,0.102988877691776
Control 1 (Spatial),V1,Expert,2,0.169146874327114,0.0756983058906441,0.0934485684364696
Control 1 (Spatial),V1,Expert,3,0.07864350191556,0.0806289684206326,-0.00198546650507257
Control 1 (Spatial),V1,Expert,4,0.187023540213785,0.0703919745474956,0.11663156566629
Control 1 (Spatial),CA1,Naive,2,0.109082684731033,0.0191170700026119,0.0899656147284216
Control 1 (Spatial),CA1,Naive,3,0.04577753689221,0.00740543296098886,0.0383721039312212
Control 1 (Spatial),CA1,Naive,4,0.0162374861159457,-0.000388634717637795,0.0166261208335835
Control 1 (Spatial),CA1,Intermediate,2,0.0697476085308931,0.028662993077956,0.0410846154529371
Control 1 (Spatial),CA1,Intermediate,3,0.0119892642222073,0.00391569813208198,0.00807356609012532
Control 1 (Spatial),CA1,Intermediate,4,0.0157200735372492,0.00487091595995213,0.010849157577297
Control 1 (Spatial),CA1,Expert,2,0.0206623312446954,0.0108070989147143,0.00985523232998116
Control 1 (Spatial),CA1,Expert,3,0.00273049755237673,0.00682898273201988,-0.00409848517964315
Control 1 (Spatial),CA1,Expert,4,0.0203885849931941,0.00208475019590005,0.0183038347972941
Control 2 (Temporal),DMS,Naive,1,0.142608581180762,0.0468746609702682,0.0957339202104941
Control 2 (Temporal),DMS,Naive,2,0.0563355217182633,0.0801345367349442,-0.023799015016681
Control 2 (Temporal),DMS,Naive,3,0.0290034013908227,0.0693541899218831,-0.0403507885310604
Control 2 (Temporal),DMS,Naive,4,0.0783884305894852,-0.00409396851886838,0.0824823991083535
Control 2 (Temporal),DMS,Naive,5,0.139612295861368,0.203156306905511,-0.0635440110441433
Control 2 (Temporal),DMS,Naive,6,0.135850638655939,0.0606137763773379,0.0752368622786008
Control 2 (Temporal),DMS,Intermediate,1,0.0833133797503725,0.0539440982988273,0.0293692814515452
Control 2 (Temporal),DMS,Intermediate,2,0.0656359037216383,0.207832060097941,-0.142196156376303
Control 2 (Temporal),DMS,Intermediate,3,0.0752249871336904,0.171208319664013,-0.0959833325303226
Control 2 (Temporal),DMS,Intermediate,4,0.0599362881249237,0.0034814392183087,0.056454848906615
Control 2 (Temporal),DMS,Intermediate,5,0.129478652426108,0.0585959402411746,0.0708827121849337
Control 2 (Temporal),DMS,Intermediate,6,0.150514995245317,0.0554370225866351,0.0950779726586818
Control 2 (Temporal),DMS,Expert,1,0.109363940621507,0.0769860315273781,0.0323779090941293
Control 2 (Temporal),DMS,Expert,2,0.137161307370366,0.130162213989024,0.00699909338134266
Control 2 (Temporal),DMS,Expert,3,0.050101146761314,0.302076136710874,-0.25197498994956
Control 2 (Temporal),DMS,Expert,4,0.07547015348622,0.0200253965482609,0.0554447569379592
Control 2 (Temporal),DMS,Expert,5,0.298986498538598,0.168878268152197,0.130108230386401
Control 2 (Temporal),DMS,Expert,6,0.234796397148782,0.0387244830282025,0.196071914120579
Control 2 (Temporal),DLS,Naive,1,0.0821281359649937,0.0805378311517501,0.00159030481324368
Control 2 (Temporal),DLS,Naive,2,0.177293829580967,0.107844734340861,0.0694490952401063
Control 2 (Temporal),DLS,Naive,3,0.152686418242102,0.0681523852843832,0.0845340329577192
