group,condition,epoch,animal,decoding_error,norm_entropy
Task (Spatial),No-CA1,Naive,2,0.371465082493789,0.055554336444883
Task (Spatial),No-CA1,Naive,3,0.313798078968914,0.117815496084768
Task (Spatial),No-CA1,Naive,4,0.329668640430249,0.0522762025730455
Task (Spatial),No-CA1,Naive,5,0.211908522526543,0.0240809037777343
Task (Spatial),No-CA1,Naive,6,0.340200131170797,0.581984574941254
Task (Spatial),No-CA1,Naive,7,0.261929307220812,0.0856054241514807
Task (Spatial),No-CA1,Naive,8,0.312112573949424,0.176687260906074
Task (Spatial),No-CA1,Naive,9,0.28763510413113,0.0618918854677896
Task (Spatial),No-CA1,Naive,10,0.35764887906713,0.055752415214884
Task (Spatial),No-CA1,Naive,11,0.305137279882074,0.0375447867496628
Task (Spatial),No-CA1,Naive,13,0.319951124509671,0.0281888408304788
Task (Spatial),No-CA1,Naive,14,0.328492050302766,0.108039826312948
Task (Spatial),No-CA1,Naive,15,0.331081880817468,0.15429401761776
Task (Spatial),No-CA1,Intermediate,1,0.236579488965767,0.0698646350076034
Task (Spatial),No-CA1,Intermediate,2,0.264106725343393,0.0560811305888632
Task (Spatial),No-CA1,Intermediate,3,0.306496180916479,0.255417217709339
Task (Spatial),No-CA1,Intermediate,4,0.278242953413021,0.052192300080151
Task (Spatial),No-CA1,Intermediate,5,0.147345689100686,0.0227671993786569
Task (Spatial),No-CA1,Intermediate,6,0.366074339626212,0.596843986472926
Task (Spatial),No-CA1,Intermediate,7,0.217744679991787,0.0990063445327769
Task (Spatial),No-CA1,Intermediate,8,0.314600494515697,0.185723973653389
Task (Spatial),No-CA1,Intermediate,9,0.225928599355782,0.0941850947860461
Task (Spatial),No-CA1,Intermediate,10,0.381220884691312,0.0603419696132515
Task (Spatial),No-CA1,Intermediate,11,0.240692185910087,0.0504380298524277
Task (Spatial),No-CA1,Intermediate,13,0.347735084461076,0.0625043006951746
Task (Spatial),No-CA1,Intermediate,14,0.295283757895213,0.135521810014623
Task (Spatial),No-CA1,Intermediate,15,0.31344405928168,0.136976867651467
Task (Spatial),No-CA1,Expert,1,0.20025094890942,0.0736832085069364
Task (Spatial),No-CA1,Expert,2,0.228131182335478,0.0598186104755438
Task (Spatial),No-CA1,Expert,3,0.362370086825586,0.19368803437858
Task (Spatial),No-CA1,Expert,4,0.265645580308154,0.0533680455641018
Task (Spatial),No-CA1,Expert,5,0.217511440669621,0.022892912971795
Task (Spatial),No-CA1,Expert,6,0.373274178378645,0.588725227096758
Task (Spatial),No-CA1,Expert,7,0.140302400820566,0.104508522874923
Task (Spatial),No-CA1,Expert,8,0.280375504576992,0.193344335572636
Task (Spatial),No-CA1,Expert,9,0.21956774301863,0.111456337414322
Task (Spatial),No-CA1,Expert,10,0.383632955938275,0.0759652653325689
Task (Spatial),No-CA1,Expert,11,0.230387095338421,0.05044244217217
Task (Spatial),No-CA1,Expert,13,0.380101090699599,0.134946889380774
Task (Spatial),No-CA1,Expert,14,0.323591119503718,0.0970955742509885
Task (Spatial),Shuffle,Naive,1,0.413796770258953,0.0520816454216589
Task (Spatial),Shuffle,Naive,2,0.392865605405324,0.0460466288805599
Task (Spatial),Shuffle,Naive,3,0.41218820454642,0.101394551246499
Task (Spatial),Shuffle,Naive,4,0.399905354754909,0.0331465689273747
Task (Spatial),Shuffle,Naive,5,0.423061844697654,0.013359859411547
Task (Spatial),Shuffle,Naive,6,0.416843019781653,0.53462610906977
Task (Spatial),Shuffle,Naive,7,0.393532376168925,0.0404214146155208
Task (Spatial),Shuffle,Naive,8,0.438972682734859,0.118440496610047
Task (Spatial),Shuffle,Naive,9,0.387370964158225,0.0521821131856892
Task (Spatial),Shuffle,Naive,10,0.394730832260814,0.0396116650149333
Task (Spatial),Shuffle,Naive,11,0.409938093125803,0.0349154927389361
Task (Spatial),Shuffle,Naive,13,0.413083886895898,0.0481554537768697
Task (Spatial),Shuffle,Naive,14,0.394861321578574,0.0734026688072395
Task (Spatial),Shuffle,Naive,15,0.415862332927509,0.114255625516254
Task (Spatial),Shuffle,Intermediate,1,0.40882593154171,0.0372395986562492
Task (Spatial),Shuffle,Intermediate,2,0.408720753120986,0.0410325224108482
Task (Spatial),Shuffle,Intermediate,3,0.384548834853211,0.151248664318245
Task (Spatial),Shuffle,Intermediate,4,0.423770788401603,0.0328326609382999
Task (Spatial),Shuffle,Intermediate,5,0.39772603107334,0.0146419303844439
Task (Spatial),Shuffle,Intermediate,6,0.396979859399846,0.529139494753987
Task (Spatial),Shuffle,Intermediate,7,0.410423451953287,0.0509309625127258
Task (Spatial),Shuffle,Intermediate,8,0.424654553109418,0.130393539048445
Task (Spatial),Shuffle,Intermediate,9,0.392982253662381,0.0643373653927395
Task (Spatial),Shuffle,Intermediate,10,0.414837444192333,0.0387494932480791
Task (Spatial),Shuffle,Intermediate,11,0.422681047901978,0.0299314204514083
Task (Spatial),Shuffle,Intermediate,13,0.416312229092934,0.047626607579405
Task (Spatial),Shuffle,Intermediate,14,0.413227672683355,0.0914820046443382
Task (Spatial),Shuffle,Intermediate,15,0.451635629139479,0.0968492267691133
Task (Spatial),Shuffle,Expert,1,0.411420995497667,0.0387047464011768
Task (Spatial),Shuffle,Expert,2,0.414362714040451,0.0410587675957091
Task (Spatial),Shuffle,Expert,3,0.414822786870877,0.105239897650132
Task (Spatial),Shuffle,Expert,4,0.415066931260149,0.0325672407645991
Task (Spatial),Shuffle,Expert,5,0.388808256097038,0.0126040571850566
Task (Spatial),Shuffle,Expert,6,0.409220259781658,0.522487453827662
Task (Spatial),Shuffle,Expert,7,0.372611882198483,0.0506955697760738
Task (Spatial),Shuffle,Expert,8,0.398515098627612,0.122764524240168
Task (Spatial),Shuffle,Expert,9,0.397216432310746,0.0675079381700732
Task (Spatial),Shuffle,Expert,10,0.400861277144853,0.045428919888692
Task (Spatial),Shuffle,Expert,11,0.379083144622468,0.0352025315393111
Task (Spatial),Shuffle,Expert,13,0.427668506800157,0.0505347185680099
Task (Spatial),Shuffle,Expert,14,0.407373660448074,0.0769974260233925
Control 1 (Spatial),All,Naive,1,0.383337458668663,0.175118122580336
Control 1 (Spatial),All,Naive,2,0.314102509327289,0.056940284100811
Control 1 (Spatial),All,Naive,3,0.344483403335477,0.103340977630363
Control 1 (Spatial),All,Naive,4,0.349328743940417,0.133632624937651
Control 1 (Spatial),All,Naive,5,0.352971276501777,0.101120570892557
Control 1 (Spatial),All,Intermediate,1,0.328826402324638,0.178475668137696
Control 1 (Spatial),All,Intermediate,2,0.230999887921497,0.0481621975025841
Control 1 (Spatial),All,Intermediate,3,0.281625806960648,0.114213606338363
Control 1 (Spatial),All,Intermediate,4,0.351758687510679,0.171339168797006
Control 1 (Spatial),All,Intermediate,5,0.323437455999389,0.126147491810908
Control 1 (Spatial),All,Expert,1,0.329899590172939,0.179692510260064
Control 1 (Spatial),All,Expert,2,0.257510757387465,0.0477539730534278
Control 1 (Spatial),All,Expert,3,0.300677106918254,0.100699859956178
Control 1 (Spatial),All,Expert,4,0.310229853790647,0.209355659734051
Control 1 (Spatial),All,Expert,5,0.342901830270466,0.114531662273174
Control 1 (Spatial),No-DMS,Naive,1,0.431441431434451,0.198396188421795
Control 1 (Spatial),No-DMS,Naive,2,0.312348475889455,0.0567450188388613
Control 1 (Spatial),No-DMS,Naive,3,0.328430128253808,0.105248330712627
Control 1 (Spatial),No-DMS,Naive,4,0.345226245523909,0.145660520269671
Control 1 (Spatial),No-DMS,Naive,5,0.389838851674216,0.118125400984649
Control 1 (Spatial),No-DMS,Intermediate,1,0.360942777952628,0.211903515902475
Control 1 (Spatial),No-DMS,Intermediate,2,0.2339848927157,0.0480308732939104
Control 1 (Spatial),No-DMS,Intermediate,3,0.27349866225154,0.12480508174419
Control 1 (Spatial),No-DMS,Intermediate,4,0.346820141823483,0.191381162086011
Control 1 (Spatial),No-DMS,Intermediate,5,0.33421458928803,0.148827501618165
Control 1 (Spatial),No-DMS,Expert,1,0.387640747087242,0.211081151839634
Control 1 (Spatial),No-DMS,Expert,2,0.254626410264466,0.0480197964008349
Control 1 (Spatial),No-DMS,Expert,3,0.306418291412891,0.115689768219573
Control 1 (Spatial),No-DMS,Expert,4,0.308947588834963,0.214501257422499
Control 1 (Spatial),No-DMS,Expert,5,0.338511990364374,0.154242969484785
