animal,area,n_units,r_fine,r_coarse,r_cross,d_reliability_5cm_minus_2p5,d_structure_fine_minus_cross,zero_frac_2p5cm,zero_frac_5cm
8,ACC,17,0.610516144814768,0.79936044639167,0.710000627458047,0.188844301576902,-0.0994844826432791,0.594479699340768,0.368987188784143
9,DMS,28,0.134055468934603,0.237056012619085,0.223750427488201,0.103000543684482,-0.0896949585535978,0.9475976710076,0.912902227722772
9,ACC,34,0.623522775141436,0.855696968931853,0.738249305880576,0.232174193790417,-0.11472653073914,0.787412773901062,0.677444306930693
9,V1,24,0.345598358759379,0.546242744697816,0.468600706545629,0.200644385938437,-0.12300234778625,0.849682208098138,0.751160272277228
10,DMS,20,0.644646540639444,0.841503306999001,0.716233597327697,0.196856766359557,-0.0715870566882527,0.896882871536524,0.884640630127995
10,DLS,20,0.375601066411303,0.706299908193578,0.519667508773586,0.330698841782275,-0.144066442362283,0.883186397984887,0.852094956788098
10,ACC,16,0.197186901682263,0.479939178064197,0.309246336037525,0.282752276381934,-0.112059434355262,0.753463476070529,0.653484301498742
10,V1,7,0.561356778281887,0.789535146159499,0.693900012460037,0.228178367877613,-0.13254323417815,0.780462846347607,0.668088830543704
11,DMS,20,0.101366543403989,0.192653956766779,0.150152882011414,0.0912874133627904,-0.0487863386074249,0.956748661160025,0.93525571273123
11,DLS,5,0.125086693365061,0.203535822127433,0.174627191990314,0.0784491287623716,-0.0495404986252531,0.978805482436235,0.967491838955386
11,ACC,67,0.16298263679559,0.271758053550472,0.184804996613376,0.108775416754882,-0.021822359817786,0.916401924298811,0.868335146898803
11,V1,67,0.670328727421575,0.814380868548936,0.677001270644015,0.144052141127361,-0.00667254322243993,0.886266678769175,0.829706202393906
11,CA1,28,0.336387157476948,0.580014833099005,0.34453013165867,0.243627675622057,-0.0081429741817215,0.893142416265771,0.839669477693145
11,DG,6,0.428537976056484,0.576153704277781,0.503070676775546,0.147615728221297,-0.0745327007190621,0.967209766724154,0.954740206746464
12,DMS,16,0.042987706769908,0.12117061642637,0.0715607310237978,0.0781829096564623,-0.0285730242538898,0.843304417190148,0.724985484807432
12,V1,102,0.860390584984868,0.929106572500839,0.867422450872676,0.0687159875159706,-0.00703186588780791,0.832236514109084,0.73079156183472
12,CA1,81,0.508844133526458,0.776911692950032,0.647491248005951,0.268067559423573,-0.138647114479493,0.807558081563466,0.648732339849042
12,DG,11,0.164891541544976,0.305076240321425,0.323210013123054,0.140184698776449,-0.158318471578078,0.83537740552398,0.722469518095607
13,DMS,8,0.219510516779042,0.255366290859829,0.200148411089698,0.0358557740807873,0.0193621056893442,0.640952901770456,0.501951092611863
13,DLS,6,0.454359349066338,0.568524647284894,0.419875243286521,0.114165298218556,0.0344841057798166,0.624342060291202,0.534534339229969
13,ACC,7,0.637791936585552,0.752270545840237,0.675924323481803,0.114478609254686,-0.0381323868962519,0.699911135415955,0.54474505723205
13,V1,64,0.634506148998985,0.819009785067839,0.735009806928822,0.184503636068854,-0.100503657929838,0.734705037938342,0.574596774193548
13,CA1,24,0.468970310362956,0.687805034939796,0.590525051498957,0.21883472457684,-0.121554741136001,0.761706200013671,0.635275754422477
14,DMS,31,0.546137337732687,0.796670434892081,0.646544676570609,0.250533097159395,-0.100407338837923,0.949963854177424,0.923955562509779
14,DLS,26,0.333577889532172,0.477576897295905,0.370273433654336,0.143999007763733,-0.0366955441221642,0.883016627078385,0.82158504146456
14,ACC,23,0.205570907922496,0.381202370160131,0.262911344198824,0.175631462237635,-0.0573404362763284,0.943251058556233,0.907056798623064
15,DLS,19,0.716222629104379,0.817276016124971,0.692751962764849,0.101053387020592,0.0234706663395305,0.414462509099733,0.380992787441663
